target,group,n,feature,mean_attribution
potassium_sensitivity,predicted_high,6424,sex_male,0.0443
potassium_sensitivity,predicted_high,6424,has_htn,0.0061
potassium_sensitivity,predicted_high,6424,has_dm,0.003
potassium_sensitivity,predicted_high,6424,has_ckd,0.0545
potassium_sensitivity,predicted_high,6424,serum_sodium,0.026
potassium_sensitivity,predicted_high,6424,serum_potassium,0.3921
potassium_sensitivity,predicted_high,6424,creatinine,0.0076
potassium_sensitivity,predicted_high,6424,egfr,0.2739
potassium_sensitivity,predicted_high,6424,hba1c,0.0
potassium_sensitivity,predicted_high,6424,fbs,0.0236
potassium_sensitivity,predicted_high,6424,sbp,0.0607
potassium_sensitivity,predicted_high,6424,dbp,0.0423
potassium_sensitivity,predicted_high,6424,bmi,0.0275
protein_restriction,all,49705,age,0.1396
protein_restriction,all,49705,sex_male,0.0342
protein_restriction,all,49705,has_htn,0.0412
protein_restriction,all,49705,has_dm,0.0251
protein_restriction,all,49705,has_ckd,0.1335
protein_restriction,all,49705,serum_sodium,0.0043
protein_restriction,all,49705,serum_potassium,0.0417
protein_restriction,all,49705,creatinine,0.0716
protein_restriction,all,49705,egfr,0.2717
protein_restriction,all,49705,hba1c,0.031
protein_restriction,all,49705,fbs,0.1079
protein_restriction,all,49705,sbp,0.0222
protein_restriction,all,49705,dbp,0.0137
protein_restriction,all,49705,bmi,0.0622
protein_restriction,predicted_low,24404,age,0.2025
protein_restriction,predicted_low,24404,sex_male,0.0296
protein_restriction,predicted_low,24404,has_htn,0.0629
protein_restriction,predicted_low,24404,has_dm,0.0189
protein_restriction,predicted_low,24404,has_ckd,0.0883
protein_restriction,predicted_low,24404,serum_sodium,0.0003
protein_restriction,predicted_low,24404,serum_potassium,0.0316
protein_restriction,predicted_low,24404,creatinine,0.0876
protein_restriction,predicted_low,24404,egfr,0.2602
protein_restriction,predicted_low,24404,hba1c,0.0164
protein_restriction,predicted_low,24404,fbs,0.1427
protein_restriction,predicted_low,24404,sbp,0.0181
protein_restriction,predicted_low,24404,dbp,0.008
protein_restriction,predicted_low,24404,bmi,0.033
protein_restriction,predicted_moderate,12117,age,0.07
protein_restriction,predicted_moderate,12117,sex_male,0.0525
protein_restriction,predicted_moderate,12117,has_htn,0.0047
protein_restriction,predicted_moderate,12117,has_dm,0.0349
protein_restriction,predicted_moderate,12117,has_ckd,0.2147
protein_restriction,predicted_moderate,12117,serum_sodium,0.0117
protein_restriction,predicted_moderate,12117,serum_potassium,0.0297
protein_restriction,predicted_moderate,12117,creatinine,0.0355
protein_restriction,predicted_moderate,12117,egfr,0.3175
protein_restriction,predicted_moderate,12117,hba1c,0.0287
protein_restriction,predicted_moderate,12117,fbs,0.0351
protein_restriction,predicted_moderate,12117,sbp,0.0165
protein_restriction,predicted_moderate,12117,dbp,0.0212
protein_restriction,predicted_moderate,12117,bmi,0.1272
protein_restriction,predicted_high,13184,age,0.0872
protein_restriction,predicted_high,13184,sex_male,0.026
protein_restriction,predicted_high,13184,has_htn,0.0347
protein_restriction,predicted_high,13184,has_dm,0.0277
protein_restriction,predicted_high,13184,has_ckd,0.1427
protein_restriction,predicted_high,13184,serum_sodium,0.005
protein_restriction,predicted_high,13184,serum_potassium,0.0715
protein_restriction,predicted_high,13184,creatinine,0.0749
protein_restriction,predicted_high,13184,egfr,0.2511
protein_restriction,predicted_high,13184,hba1c,0.0601
protein_restriction,predicted_high,13184,fbs,0.1104
protein_restriction,predicted_high,13184,sbp,0.0349
protein_restriction,predicted_high,13184,dbp,0.0173
protein_restriction,predicted_high,13184,bmi,0.0565
carb_sensitivity,all,49530,age,0.0413
carb_sensitivity,all,49530,sex_male,0.0381
carb_sensitivity,all,49530,has_htn,0.0032
carb_sensitivity,all,49530,has_dm,0.155
carb_sensitivity,all,49530,has_ckd,0.0184
carb_sensitivity,all,49530,serum_sodium,0.0417
carb_sensitivity,all,49530,serum_potassium,0.0447
carb_sensitivity,all,49530,creatinine,0.0693
carb_sensitivity,all,49530,egfr,0.0985
carb_sensitivity,all,49530,hba1c,0.1808
carb_sensitivity,all,49530,fbs,0.2499
carb_sensitivity,all,49530,sbp,0.0106
carb_sensitivity,all,49530,dbp,0.0076
carb_sensitivity,all,49530,bmi,0.041
carb_sensitivity,predicted_low,32195,age,0.0419
carb_sensitivity,predicted_low,32195,sex_male,0.0324
carb_sensitivity,predicted_low,32195,has_htn,0.0024
carb_sensitivity,predicted_low,32195,has_dm,0.1465
carb_sensitivity,predicted_low,32195,has_ckd,0.0208
