repeat,fold,target,arm,n,f1_macro,balanced_accuracy,cohen_kappa,quadratic_kappa,auroc_ovr_macro
0,0,sodium_sensitivity,tabnet,32407,0.3942337408787222,0.5231230291945822,0.1799880394686033,0.22392768183563083,0.755680960177811
0,0,sodium_sensitivity,rules,32407,0.3682037602607393,0.45354902825331794,0.1230346761543325,0.20059008787184096,
0,0,potassium_sensitivity,tabnet,39675,0.410406547557753,0.48748757250531544,0.16965269372765068,0.24075146733456765,0.7276764153164944
0,0,potassium_sensitivity,rules,39675,0.3879042169655504,0.4709507984521479,0.13706359660486644,0.2253666941421857,
0,0,protein_restriction,tabnet,39544,0.3730510850752522,0.4838713096798341,0.13800547228803017,0.05792844606291192,0.6822833526001565
0,0,protein_restriction,rules,39544,0.31784185922470426,0.3640155864741117,0.09290410278503758,0.1559225067836063,
0,0,carb_sensitivity,tabnet,39454,0.5021306343432694,0.5350661301335266,0.3068745021735476,0.4284906771460868,0.778848288495655
0,0,carb_sensitivity,rules,39454,0.31594774824725563,0.42757713977672535,0.08859975712337531,0.16904991159752947,
0,1,sodium_sensitivity,tabnet,32462,0.3814666315591581,0.5084986277741789,0.16339237565094633,0.21137147276407298,0.7481771550988178
0,1,sodium_sensitivity,rules,32462,0.37098488245792566,0.4532622016235368,0.12091976842237773,0.19399440021637948,
0,1,potassium_sensitivity,tabnet,39817,0.41684399844278586,0.4855673024832847,0.1752162539159534,0.24886234113487282,0.7220122389920043
0,1,potassium_sensitivity,rules,39817,0.3868241759556475,0.47113215063910774,0.13403945298315012,0.22373185316007982,
0,1,protein_restriction,tabnet,39715,0.4024355580492847,0.48688536905491037,0.17247675565138576,0.10362591360321904,0.6845749959418095
0,1,protein_restriction,rules,39715,0.320488600220986,0.36025972496574826,0.09609220825313003,0.15177224312395898,
0,1,carb_sensitivity,tabnet,39594,0.4899625288561258,0.5278428517520833,0.29838599015796075,0.4228575454728173,0.7724368266421037
0,1,carb_sensitivity,rules,39594,0.31912881636028023,0.4289405223124419,0.09235941217676824,0.1732007703434406,
0,2,sodium_sensitivity,tabnet,32979,0.4024943764819451,0.5026859947710512,0.17909170640905914,0.2402919144882283,0.7445050481772396
0,2,sodium_sensitivity,rules,32979,0.37001280423525684,0.45882819719606216,0.11357619369565086,0.1858523686300989,
0,2,potassium_sensitivity,tabnet,39976,0.4102322695764635,0.47928665881441024,0.16571525207601212,0.24246271265739716,0.7182169811798452
0,2,potassium_sensitivity,rules,39976,0.38572807780962104,0.46038175606006426,0.13239691930145558,0.2243832283291426,
0,2,protein_restriction,tabnet,39892,0.3864956397321111,0.4849634119251906,0.15432588092706734,0.07666787853329149,0.678930034476441
0,2,protein_restriction,rules,39892,0.3180973020393466,0.351689591813718,0.09281950735273026,0.1504692938825929,
0,2,carb_sensitivity,tabnet,39763,0.4999473819254479,0.522945897948666,0.3010019751206673,0.42487421636222844,0.764802183720049
0,2,carb_sensitivity,rules,39763,0.3216386611291636,0.4223689332280043,0.09024593188221153,0.17142400817142323,
0,3,sodium_sensitivity,tabnet,31576,0.39647027240959715,0.5098851834714614,0.17670714608522853,0.21709821526073136,0.7453591104365719
0,3,sodium_sensitivity,rules,31576,0.3626226024323878,0.4509673298771069,0.11462145238969612,0.18263087985014959,
0,3,potassium_sensitivity,tabnet,38693,0.4257405804763262,0.48252859891232447,0.18450191191460374,0.2636476617488037,0.7204616696908542
0,3,potassium_sensitivity,rules,38693,0.3865860822713439,0.45879560286370724,0.13231143376978172,0.22858682056220547,
0,3,protein_restriction,tabnet,38573,0.39203821251402027,0.4829683489944984,0.15486392787035874,0.08134307589688339,0.6761313314852903
0,3,protein_restriction,rules,38573,0.32227242557528285,0.35785267208090193,0.09414165767460803,0.15182455153227914,
0,3,carb_sensitivity,tabnet,38459,0.504365202345468,0.530022579825398,0.31528220424451414,0.43693449144361285,0.7738633170257607
0,3,carb_sensitivity,rules,38459,0.3202117187576461,0.4241947089460422,0.08991511191539625,0.17288347302763363,
0,4,sodium_sensitivity,tabnet,32438,0.3809264946992799,0.5222122681496848,0.1644498299424194,0.20829910911695104,0.7522410666083337
0,4,sodium_sensitivity,rules,32438,0.3742245186380148,0.45865395042760215,0.12439941228874951,0.1995426942212437,
0,4,potassium_sensitivity,tabnet,39513,0.3987921506891303,0.47457899137288084,0.1551353986884333,0.23021816319509525,0.7170685695181795
0,4,potassium_sensitivity,rules,39513,0.38309652083862966,0.4607411383150373,0.12935708280696145,0.21779999834478891,
