target,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,f1_macro,f1_weighted,cohen_kappa
sodium_sensitivity,0.9991717107359032,0.9994063759353713,0.9991719949517979,0.9968824036089593,0.9991717107359032,0.9981387301772187,0.9991709777089383,0.9984233217721339
potassium_sensitivity,0.9994902835297865,0.9990226227481633,0.9994912491715501,0.9993964480187785,0.9994902835297865,0.9992089555651994,0.9994904267780558,0.9991525116790518
protein_restriction,0.9995539980885633,0.9988656619672662,0.9995555158393556,0.9990125546621527,0.9995539980885633,0.9989374092568196,0.9995540473811382,0.9989945126556642
carb_sensitivity,0.9961134119146224,0.9959052097010922,0.9961438925881203,0.8838095238095237,0.9961134119146224,0.9275853220967417,0.9957108943913678,0.9899968665600732
